SEKOLAH MENENGAH KEBANGSAAN MELATI,,,,,,,,,
,,,,,,,,,
,,TRIAL SPM,,,,,,,
,,SUBJECT,,,,,,,
,,BM,,ENG,,MATH,,SAINS,
CLASS,STUDENT ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
ARKID,30,30,-,30,-,30,-,30,-
BAIDURI,33,33,-,33,-,33,10,33,-
DELIMA,33,33,-,33,-,31,10,25,8
MUTIARA,32,29,3,32,-,24,13,25,7
NILAM,33,28,5,25,8,21,17,24,9
ZAMRUD,29,19,10,14,15,9,20,12,17
,,,,,,,,,
,,,,,,,,,
total student,,190,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
subject,bm,eng,math,sains,,,,,
pass,172,167,148,149,,,,,
fail,18,23,70,41,,,,,
,,,,,,,,,
,,,,,,,,,
subject,bm,eng,math,sains,,,,,
pass,90.53%,87.89%,77.89%,78.42%,,,,,
fail,9.47%,12.11%,36.84%,21.58%,,,,,
