SEKOLAH MENENGAH KEBANGSAAN MELATI,,,,,,
,,,,,,
,,,trial spm,,,
total student,class,gred,bm,eng,math,sains
30,ARKID,A,27,25,15,18
,,B,3,5,12,11
,,C,-,-,3,1
,,D,-,-,-,-
,,E,-,-,-,-
,,F,-,-,-,-
33,BAIDURI,A,22,13,11,15
,,B,11,19,15,5
,,C,-,1,7,9
,,D,-,-,-,4
,,E,-,-,-,-
,,F,-,-,-,-
33,DELIMA,A,9,10,5,8
,,B,14,11,3,13
,,C,10,10,14,3
,,D,-,2,7,9
,,E,-,-,2,-
,,F,-,-,2,-
32,MUTIARA,A,13,5,1,7
,,B,10,15,10,5
,,C,9,1,6,9
,,D,-,7,2,8
,,E,-,4,9,3
,,F,-,-,4,-
33,NILAM,A,9,17,7,6
,,B,8,8,8,4
,,C,9,-,10,19
,,D,6,7,7,-
,,E,-,-,1,2
,,F,1,1,-,2
29,ZAMRUD,A,16,7,3,4
,,B,8,5,7,12
,,C,-,6,13,4
,,D,2,11,-,6
,,E,-,-,1,2
,,F,3,-,5,1
,,,,,,
,,,,,,
 gred ,A,B,C,D,E,F
subject,,,,,,
bm,96,54,28,8,-,4
eng,77,63,18,27,4,1
math,42,55,53,16,13,11
sains,58,50,45,27,7,3
,,,,,,
,,,,,,
total student ,190,,,,,
,,,,,,
subject,bm ,,,,,
gred,A,B,C,D,E,F
percentage,50.53%,28.42%,14.74%,4.21%,-,2.11%
,,,,,,
subject,eng,,,,,
gred,A,B,C,D,E,F
percentage,40.53%,33.16%,9.47%,14.21%,2.11%,0.53%
,,,,,,
subject,math,,,,,
gred,A,B,C,D,E,F
percentage,22.11%,28.95%,27.89%,8.42%,6.84%,5.79%
,,,,,,
subject,sains,,,,,
gred,A,B,C,D,E,F
percentage,30.53%,26.32%,23.68%,14.21%,3.68%,1.58%
,,,,,,
,,,,,,
,,,,,,
